"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000147586",520.393492865566,0.487659257040608,0.150184998473777,3.24705704295596,0.0011660501666182,0.0228147669185639,"MRPS28",28957
"ENSG00000151790",20.9469567429415,-3.47618872921762,1.07071570153441,-3.24660292572155,0.00116791209300953,0.0228352840079586,"TDO2",6999
"ENSG00000076641",1320.60307307667,-1.14799155811635,0.353672854814966,-3.24591368120958,0.00117074331505687,0.0228564633620509,"PAG1",55824
"ENSG00000067221",1101.43467760146,0.543836327682635,0.167553625142622,3.24574492028877,0.00117143750322297,0.0228564633620509,"STOML1",9399
"ENSG00000101146",1322.64756763091,0.289032757474504,0.0890445374176839,3.24593474070991,0.00117065671471917,0.0228564633620509,"RAE1",8480
"ENSG00000121743",14.7504032698745,-2.08867355153315,0.643853761515486,-3.24401855883685,0.00117856066961456,0.0229794777227555,"GJA3",2700
"ENSG00000214194",1204.9613563275,0.51633196524983,0.159185776674024,3.24358102864404,0.00118037231572982,0.0229988296382693,"LINC00998",NA
"ENSG00000211584",5214.53849879033,0.514964068965824,0.158809192803085,3.24265906699967,0.00118419823505321,0.0230573743728078,"SLC48A1",55652
"ENSG00000130038",263.635285297605,-1.15369825888175,0.355952347307213,-3.24115929452215,0.0011904464178217,0.0231629688656825,"CRACR2A",84766
"ENSG00000229781",7.56733487567077,-2.69879942360004,0.832808475972417,-3.2406003318456,0.00119278288606617,0.0231923580970082,"AC013444.1",NA
"ENSG00000154920",30.3443306836075,-1.17025883606995,0.361151775300944,-3.24035188556054,0.00119382275287,0.0231965131019591,"EME1",146956
"ENSG00000121594",51.6353334196678,-1.28365827544254,0.396299791447682,-3.23910913693226,0.00119903683572819,0.023281713165104,"CD80",941
"ENSG00000211940",808.709205486999,-4.20440673052077,1.2981994461662,-3.23864468047424,0.00120099090642239,0.0233035395159788,NA,NA
"ENSG00000272334",12.4621084596372,-1.48308160781432,0.457974286702822,-3.2383512587393,0.00120222691225053,0.0233114123033551,"RP11-129K12.1",NA
