"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000211941",478.46468209679,7.40405220357248,1.21640036936226,6.08685461634175,1.15150442952383e-09,5.14192422402608e-07,NA
"ENSG00000211966",805.817810838718,6.46377329743712,1.06253319579193,6.0833612757101,1.17688748707494e-09,5.17315606037379e-07,NA
"ENSG00000104921",258.635869010942,5.23453747476665,0.865091085335894,6.05085124965102,1.44082442765141e-09,6.04974220875961e-07,"FCER2"
"ENSG00000211638",526.898767190506,7.63404220924932,1.26135586425194,6.05225093536691,1.42835736969414e-09,6.04974220875961e-07,NA
"ENSG00000211669",402.747198562701,7.27914424339573,1.20213922816041,6.05515906384214,1.40278980169425e-09,6.04974220875961e-07,NA
"ENSG00000211897",14210.0271065283,6.54988176209979,1.08417772050405,6.04133587900575,1.52843427244376e-09,6.3232224929982e-07,NA
"ENSG00000154451",841.782140749502,3.35193446942352,0.555158909525117,6.03779280474985,1.56236493496363e-09,6.36992034063721e-07,"GBP5"
"ENSG00000159753",1235.37955194437,3.42928063224278,0.569320789076631,6.02345935374089,1.70727999984527e-09,6.8613144222353e-07,"CARMIL2"
"ENSG00000072818",2479.9061750265,2.80975482215032,0.466690604420366,6.02059436281144,1.73777759973449e-09,6.88551541348321e-07,"ACAP1"
"ENSG00000137265",960.180968196191,4.1874920962399,0.696784334932633,6.00973914926597,1.85822066331991e-09,7.26048106951609e-07,"IRF4"
"ENSG00000211652",194.199152882827,7.34972960124907,1.22648668051885,5.9925066598684,2.06630971775765e-09,7.96293492876139e-07,NA
"ENSG00000253701",78.318132335314,6.1156158858788,1.02289913218318,5.97870864630238,2.24913407436778e-09,8.55035672704247e-07,NA
"ENSG00000124256",314.277393990783,3.74954999646023,0.627774306608638,5.97276753283524,2.33262176818317e-09,8.74950874433718e-07,"ZBP1"
"ENSG00000211670",185.215128450961,7.38433546010671,1.24153503479703,5.94774634073367,2.71859447986374e-09,1.00630920930956e-06,NA
"ENSG00000211959",1584.54612594264,7.02679553050969,1.18288638591177,5.94038076200654,2.84360825886694e-09,1.03891412387591e-06,NA
"ENSG00000211639",105.412211095436,10.3330112862385,1.74020671234773,5.93780682083346,2.88860115745875e-09,1.04182215079012e-06,NA
"ENSG00000148600",168.465517803127,2.79370638415281,0.470938033928747,5.93221651869277,2.98872127341358e-09,1.06428742865406e-06,"CDHR1"
"ENSG00000174130",380.86296198188,3.17602113858946,0.53688585948989,5.91563566529222,3.30596281278125e-09,1.15529971727656e-06,"TLR6"
"ENSG00000260655",312.199704844786,5.71920074991412,0.966960036396136,5.91461956507489,3.32643527297745e-09,1.15529971727656e-06,NA
"ENSG00000211951",171.281797215936,7.47160933562922,1.26589195162387,5.90224886574619,3.58579706708556e-09,1.20258200104548e-06,NA
"ENSG00000260719",67.1267555554369,4.36139685155122,0.738548988007557,5.9053589164306,3.51879811629344e-09,1.20258200104548e-06,NA
"ENSG00000223350",243.933296309038,9.22589851901061,1.56317693079873,5.90201808716335,3.59081786178801e-09,1.20258200104548e-06,NA
"ENSG00000009790",1274.11886417361,3.15325447561679,0.534489376966429,5.89956435339002,3.64462603151896e-09,1.20624258257284e-06,"TRAF3IP3"
"ENSG00000196092",411.035620902334,6.23756362709297,1.05775288574518,5.89699514050357,3.70180758605107e-09,1.21092152338126e-06,"PAX5"
"ENSG00000211962",622.962995066454,6.23958467203809,1.05906452760111,5.89160009557811,3.82473869726366e-09,1.22743195596855e-06,NA
"ENSG00000185862",1528.3869032394,3.07708387277882,0.522339808919124,5.89096182262313,3.83954258940823e-09,1.22743195596855e-06,"EVI2B"
"ENSG00000026751",673.002332923451,3.93813608410803,0.669874805083925,5.87891357343204,4.12967905830164e-09,1.29662435966871e-06,"SLAMF7"
"ENSG00000264198",1298.66619249567,3.72661555785874,0.633975024112838,5.87817408591708,4.14816551863302e-09,1.29662435966871e-06,NA
"ENSG00000245164",833.476001814061,3.53248509967261,0.601197002046179,5.87575301881042,4.20925506577959e-09,1.29698957074313e-06,"LINC00861"
"ENSG00000232216",140.10608841445,7.4952320829532,1.27589554112668,5.87448724551113,4.24154132334593e-09,1.29698957074313e-06,NA
"ENSG00000211644",2206.34531494098,5.69940983731235,0.972282444000883,5.86188701902261,4.57636375506925e-09,1.38432543180224e-06,NA
"ENSG00000123329",2145.52617859817,3.04337877049672,0.523075459280402,5.81824040203207,5.94703301318741e-09,1.77980779496796e-06,"ARHGAP9"
"ENSG00000211936",497.109139988328,7.0464544958976,1.21387129565859,5.80494367162256,6.43876463526153e-09,1.90668764967555e-06,NA
"ENSG00000132185",262.35690475352,6.71201791864331,1.15930866400476,5.78967286887779,7.05236411575067e-09,2.06663653441977e-06,"FCRLA"
